dt,kdcode,score
2024-01-08,000001.SZ,-0.099132694
2024-01-08,000002.SZ,-0.07722202
2024-01-08,000004.SZ,-0.38458627
2024-01-08,000006.SZ,-0.10012275
2024-01-08,000008.SZ,0.032112677
2024-01-08,000009.SZ,0.00079955684
2024-01-08,000010.SZ,-0.11389737
2024-01-08,000011.SZ,0.12938152
2024-01-08,000012.SZ,0.013381246
2024-01-08,000014.SZ,-0.008225357
2024-01-08,000016.SZ,0.01868929
2024-01-08,000017.SZ,0.28951436
2024-01-08,000019.SZ,0.044228666
2024-01-08,000020.SZ,0.18559755
2024-01-08,000021.SZ,-0.04531622
2024-01-08,000025.SZ,-0.025168339
2024-01-08,000026.SZ,0.04197485
2024-01-08,000027.SZ,-0.02275873
2024-01-08,000028.SZ,-0.049399123
2024-01-08,000029.SZ,0.030131668
2024-01-08,000030.SZ,0.059173714
2024-01-08,000031.SZ,0.03961583
2024-01-08,000032.SZ,0.038599193
2024-01-08,000034.SZ,-0.092592016
2024-01-08,000035.SZ,0.0854249
2024-01-08,000036.SZ,0.087471925
2024-01-08,000037.SZ,0.1744797
2024-01-08,000039.SZ,0.014100075
2024-01-08,000040.SZ,0.105717815
2024-01-08,000042.SZ,0.23918252
2024-01-08,000045.SZ,0.147019
2024-01-08,000048.SZ,-0.15601994
2024-01-08,000049.SZ,-0.053393252
2024-01-08,000050.SZ,0.09511025
2024-01-08,000055.SZ,0.030341487
2024-01-08,000056.SZ,0.03224416
2024-01-08,000058.SZ,0.049418837
2024-01-08,000059.SZ,0.04576606
2024-01-08,000060.SZ,-0.031223083
2024-01-08,000061.SZ,0.046181712
2024-01-08,000062.SZ,-0.010841226
2024-01-08,000063.SZ,-0.12670556
2024-01-08,000065.SZ,0.01114809
2024-01-08,000066.SZ,-0.09567818
2024-01-08,000068.SZ,0.18493238
2024-01-08,000069.SZ,0.02704531
2024-01-08,000070.SZ,-0.013715821
2024-01-08,000078.SZ,-0.21853146
2024-01-08,000088.SZ,0.063828014
2024-01-08,000089.SZ,0.039901502
2024-01-08,000090.SZ,0.016744543
2024-01-08,000096.SZ,0.072832584
2024-01-08,000099.SZ,-0.018291801
2024-01-08,000100.SZ,0.023737608
2024-01-08,000151.SZ,0.14828911
2024-01-08,000153.SZ,0.13776594
2024-01-08,000155.SZ,-0.45092326
2024-01-08,000156.SZ,0.012793693
2024-01-08,000157.SZ,0.03010332
2024-01-08,000158.SZ,-0.46368608
2024-01-08,000159.SZ,0.11056968
2024-01-08,000166.SZ,-0.04941251
2024-01-08,000301.SZ,-0.05058711
2024-01-08,000333.SZ,-0.121425614
2024-01-08,000338.SZ,-0.09660589
2024-01-08,000400.SZ,-0.059948485
2024-01-08,000401.SZ,-0.009551578
2024-01-08,000402.SZ,0.10466609
2024-01-08,000403.SZ,-0.11924646
2024-01-08,000404.SZ,0.115513705
2024-01-08,000407.SZ,0.26833194
2024-01-08,000408.SZ,-0.17183033
2024-01-08,000409.SZ,0.048679225
2024-01-08,000410.SZ,-0.003771854
2024-01-08,000411.SZ,0.1053756
2024-01-08,000413.SZ,-0.04678962
